timestamp,sat_id,sqrtA,a,e,i,RAAN,omega,M
2024-01-04 02:00:00,G23,5153.699522018,26560618.76324856,0.003950719488785,0.9772359654119,-0.6135318483613,-2.990413022774,0.4694291876213
2024-01-04 03:29:36,G23,,,,,,,
2024-01-04 03:59:44,G23,,,,,,,
2024-01-04 04:00:00,G23,5153.701334,26560637.440073382,0.003951105056331,0.977236873884,-0.613589784306,-2.990189266528,1.519368758345
2024-01-04 05:59:44,G23,,,,,,,
2024-01-04 06:00:00,G23,5153.703948975,26560664.393680505,0.003950638463721,0.9772386396262,-0.6136482059395,-2.989854335823,2.569195514677
2024-01-04 07:59:44,G23,,,,,,,
2024-01-04 08:00:00,G23,5153.701313019,26560637.22381376,0.003952043247409,0.9772407740236,-0.6137050783427,-2.989860409859,-2.663822711685
2024-01-04 09:14:40,G23,5153.701141357,26560635.454424445,0.00395212857984,0.9772419867827,-0.6137408349864,-2.989848140365,-2.010400627564
2024-01-04 09:59:44,G23,,,,,,,
2024-01-04 10:00:00,G23,5153.701158524,26560635.631371617,0.003952126135118,0.9772429449941,-0.6137625710232,-2.989850220634,-1.613670568725
2024-01-04 10:14:40,G23,,,,,,,
2024-01-04 11:59:44,G23,,,,,,,
2024-01-04 12:00:00,G23,5153.699457169,26560618.094824046,0.003951724036597,0.9772453909931,-0.6138195677745,-2.989646797486,-0.5637114695082
2024-01-04 13:29:36,G23,,,,,,,
2024-01-04 13:59:44,G23,,,,,,,
2024-01-04 14:00:00,G23,5153.70051193,26560628.966667544,0.00395228166599,0.977247757995,-0.613877045826,-2.98964927713,0.48645391725
2024-01-04 15:59:44,G23,,,,,,,
2024-01-04 16:00:00,G23,5153.701444626,26560638.58034012,0.00395241077058,0.9772498675224,-0.6139338231394,-2.989524929096,1.536491440579
2024-01-04 17:59:44,G23,,,,,,,
2024-01-04 18:00:00,G23,5153.704202652,26560667.00843289,0.003951870603487,0.9772520194749,-0.613991153436,-2.989177342686,2.586304089992
2024-01-04 19:59:44,G23,,,,,,,
2024-01-04 20:00:00,G23,5153.701595306,26560640.13345961,0.003953259321861,0.9772545415457,-0.6140473953216,-2.989171703137,-2.646727334817
2024-01-04 21:59:44,G23,,,,,,,
2024-01-04 22:00:00,G23,5153.700973511,26560633.724368226,0.003953488194384,0.9772568149204,-0.6141035874679,-2.989110624844,-1.596627715004
2024-01-04 23:59:44,G23,,,,,,,
2024-01-05 00:00:00,G23,5153.699501038,26560618.546999328,0.003953140694648,0.9772583173373,-0.6141593714601,-2.988934704556,-0.5466422481524
2024-01-03 23:59:44,G24,,,,,,,
2024-01-04 00:00:00,G24,5153.622400284,26559823.844709016,0.01503707515076,0.9335734856658,1.415888368794,0.9573722837927,0.7397523807417
2024-01-04 01:59:44,G24,,,,,,,
2024-01-04 02:00:00,G24,5153.624698639,26559847.53442192,0.01503721729387,0.9335731872305,1.415826935012,0.9574541808726,1.789887015499
2024-01-04 03:29:36,G24,,,,,,,
2024-01-04 03:59:44,G24,,,,,,,
2024-01-04 04:00:00,G24,5153.62377739,26559838.038879573,0.0150377565296,0.933574193718,1.41576880304,0.957442424863,2.84011262621
